id,project,label,identifier,enabled,data,modularClassTags,geometryObjects,nodeObject_to,nodeObject_from
617,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837066,True,{'Length': 9.125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/457/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]",[]
618,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837426,True,{'Length': 8.0729166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/458/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]",[]
619,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837473,True,{'Length': 17.0625},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/459/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]","[{'name': 'host', 'nodeObject_from': 748}, {'name': 'host', 'nodeObject_from': 749}]"
620,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837518,True,{'Length': 8.0729166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/460/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]",[]
621,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837982,True,{'Length': 2.3854166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/461/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
622,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837984,True,{'Length': 8.328125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/462/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
623,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837985,True,{'Length': 2.5},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/463/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
624,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837987,True,{'Length': 8.9947916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/464/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
625,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837988,True,{'Length': 3.5052083333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/465/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
626,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_837989,True,{'Length': 2.46875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/466/?format=json'],"[{'name': 'level', 'nodeObject_to': 377}]",[]
